comment,complaint_cluster
الثومية مجتش اصلا,
زود الفراخ و قلل ثومية شويا,
المطعم اتأخر جدا في تحضير الساندوتش,تأخير_طلب
تحفه بس البطاطس جت قليلة في الوحبه جدا كانوا 23 وحده بالعدد اتمنى تكتروا بطاطس مع الواجبات🥹,كمية_قليلة
سندوتش الشاورما كان كله عيش والفراخ قليلة جدا بالرغم إنه غالي والفتة غرقانة زيت ... كان زمان بيتحط عليها صوص أحمر جميل لكن دلوقتي الصوص كله زيت,طعم_سيئ كمية_قليلة سعر_غالي
الكميات صغيرة جدا وانا طالبة لارچ الحجم اللى واصل ميتقالش عليه ميديم حتى,كمية_قليلة
طيار بارد معندوش دم باديله حساب الاوردر 150 جنيه مش عاجبه بقوله الحساب مظبوط بيقولي انت عايز باقي يعني راح بصلي و ماشي اكن انا شغال عنده,حرارة_غير_مناسبة
وحش جدا و طميه لحمه اقل من معداد و سندوتش اصغر مع اني طلبه كبير و بطاطس مكنتش مستويه كويس,
الساندوتش فاضي وحرفيا مليان صوص وبطاطس فين الشاورما نفسها !!!!!!,
الحجم صغير جدا بشكل مش طبيعي ، انا مش فاهمة الساندوتش ده ازاي لارچ ؟!!! اومال ال small عامل ازاى ؟!,كمية_قليلة
زودو الكمية ياجدعاااان,
في صنف ناقص في الاوردر,طلب_غلط
الاوردر اخد ساعتين ونص,
كنت طالب سندوتشات و الاوردر جه فته شاورما,
اولا الساندوتش فاضي ووج أ كبير منه عيش,
اسوء طبق عربي لحم بالتاريخ الساندوتش متوزع فيه اللحمة غلط لدرجة ان كان فيه قطعة فيها بصل بس و كمية بصل غريبة و الدريسنج في حتة و اللحم ف حتة الصراحة اسوء تجربة,طلب_غلط
طعم اللحمه غريبه وشكلها غريب والصوص اللي محطوط على اللحمه برده وحشه قوي اما ميكس المشاوي متوسط الكميه,
الطيار ممتاز في الخدمة بس الساندوتش صغير جداااااا مع انه Large,كمية_قليلة
الشاورما مش مستويه حرفيا واضح انها اتقطعت قبل ما تستوي سيئه جدا و فيها جلد و الطعم الني و الزفاره لا تحتمل غير راضي ابدا اني ادفع فلوس على حاجه بالشكل دا، سلطان ايوب محل ممتاز عاده الاوردر دا شكلو كان في زحمه ولا حاجه غير قابل للاكل ابدا,
الشاورمه مش سخنه والحشو قليل,حرارة_غير_مناسبة كمية_قليلة
كانت تجربة سيئة و الاكل طعمه مكانش حلو و كان طعم الصوص الى فيه غريب,
😤😤,
راجل قمة في الاحترام و الرقي,
bam,
الاكل سئ جدا وفته الشاورما غريبه وطعمها ملوش علاقه بالشاورما ومفيهاش توميه ولاحتي علب توميه والعيش مليان زيت والصلصه وحشه جدااااااا,
طلبت تفس الطلب الى عملت عنه ريفيو مش حلو من يومين .. عشان اعرف فيه اهتمام بالريفيوز الى بتتصلوا تزعجونا بيها ... وطبعا تفس الكومينت اتكرر .. مافيش اى اهتمام بالريفيو .. مش هاطلب الاوردر دا تانى ... 👎🏻 وياريت محدش يتصل بيا ياخد اى فيد باك عن اى اورد...,
الطعم مقبول بس في تغيير عن مستوى زمان اللي متعودة علية,
ال لارج حجم صغير جدا,كمية_قليلة
السندوتش جه مفرول ومبهدل جدا مايتاكلش سندوتش ... ايه المشكله لما تقسموه اتنين مثلا يعنى بدل البهدلة الى وصل بيها 😬👋🏻,
الفته ف الصورة حاجه وفي الحقيقة حاجه تانيه خاالص العلبة نصها حرااام فيها التمن ده والتتبيله بتاعتها مش حلوة,
يعني لما اشتري ٢ ساندوتش شاورما سبيشيال ب ٣٠٠ج و في الاخر يجي بعيش بايت و بيتفرول يبقي حرام الفلوس البتدفع عندكم السندوتش مش مستحمل يتمسك حتي! فرع سئ جدا,
وجبه كفته فالصوره معاها رز وجاي سندوتش متقطع!!,
السندوتش فاضي مقارنه لاخر مرة قبلها اشتريه يعني السعر زاد و كميه الكباب داخل السندوتش قلت مش حتشتريه تاني 😔,طعم_سيئ
رنت,
اا,
اللي وصل الطلب قمة في الأدب والذوق والاحترام وبشوش الوجه الله يباركله فعلا,
😇,
الي بيوصل كان اوسخ راجل وصلي مش عاوز يدي باقي و مشى وخد الباقي كله و شتمنا بالاهل والله لولا ان اخويا الصغير هو الي فتح كنت فشخته,نظافة_سيئة كمية_قليلة
طلبت الاورد بدون بصل و كتبت كده و جالي ببصل و كان بارد جدا,حرارة_غير_مناسبة
السلطان ايوب ف حته تانيه,
بيك شاورما الدجاج كان ممتاز بس الشيف محتاج يبقى كريم سيكا في كمية الشاورما 😀 وساندوتش الكباب بردو رهيب ..استمروا 👏,طعم_سيئ
Bh,
Go,
في حاجات ناقصه في الطلب وطعم الصوص شيء جدا,طلب_غلط
مستلمتش البطاطس,
جوده الاكل مش احسن حاجه و الشاورما فيها طعم غريب ادتله فرصه اكتر من مره بس كل مره مفيش تحسن,طعم_سيئ
كنت في اضافات اتحاسبت عليها ومجتش,
الفرق في الكميه ولا حاجه بين طبق الفته الميديم واللارچ والسعر مبالغ فيه,سعر_غالي
التوصيل متأخر جدا,تأخير_طلب
بالرغم من التعليقات السلبية وكنت خايفة الاكل يجيلي وحش لكن الاكل بجد كان حلو اوي,
للاسف دليفري حاسس انو شغال غصب عنو دا ايه دا طلب ناقص وحاجه خرا الله يكرم النعمه بس,طلب_غلط
بصراحة ابداع والله فاخر من الاخر من افضل مطاعم الشاورما ❤️❤️❤️,
الاكل جه متأخر وبارد جدا ومبهدل ومش كامل,حرارة_غير_مناسبة تأخير_طلب
ورق العنب وبوريك الجبنه مش حلوين والبطاطس وحشه جدا,
الاوردر وصلي غلط طلبت سيزر سلاد كلها خس و احظة طماطم فقط و مفيش شاورما نهائي وساندويتش الشاورما كله بطاطس و كام قطعة شاورما صغيرة,كمية_قليلة طلب_غلط
الكمية في السندوتش بقت حاجة فضيحة الصراحة,
ما قدرنا نميز بين الطلبات لانه انتم مش حاطين علامة,
العيش بايت والاكل بارد,حرارة_غير_مناسبة
رائع,
الكميه اقل من نفس المقاس الفتره اللي فاتت و الشاورما اقل,
سئ جدا جدا مش ممكن اجيب منه تاني اصبت منه بقئ واعياء شديد انا كتبت الريفيو عشان احذر الناس منه ومايحصلهمش زيي لو اعرف اديهم زيرو بس مانفعش للاسف,
الشاورما فراخ ليس لها أي علاقه بالشاورما و البطاطس اللي موجود ف السندوتش بايته وسيئه جدا والسندوتش كا مجمل تجربه غير مرضيه,طعم_سيئ
العيش داخل الفته غير طازج وسيء من اسوأ المرات اللي طلبت فيها,طعم_سيئ
سيئه جدا و الحجم صغير جدا مع اني مش اكييل اومال لو طلبت الصغيره هتبقي اد ايه,كمية_قليلة
Delivery جيه بسرعة اوي وكان كويس اوي👌🏻👍🏻,
الطلب لسى مو صلش,
ممتازين,
زوق و محترم جدا جدا التي قام بتوصيل الطلبات,
السندوتشات بقت صغيرة جدا,كمية_قليلة
أسوأ فرع بجد.. اي اوردر من الفرع ده بيوصل بارد و الشاورما زفرة... في حاجة غلط ف ادارة الفرع ده,حرارة_غير_مناسبة طلب_غلط
الفته كانت سيئه جدا و عليها صلصه للاسف مقدرناش نأكلها تجربه مش هتتكرر تانى الاوردر كان اتنين فته شاورما ميكس,
الاكل غير طازج,
بيفشخ ام الجهاز الهضمي,
مش بيقروا اي تعليمات في الملاحظات وكل مرة نفس الكلام,طعم_سيئ
محترم وقت التوصيل ممتاز,
تم تبديل الرز البسمتي برز مصري معجن,
سندوتش الشاورما فاضي ومفهوش حشو ولا صوص وكأني باكل عيش فاضي.. كذلك كنت طالب بسطرمه رول جالي شاورما فراخ .. انا غير مجبر اكل حاجة مطلبتهاش.. تجربة سيئة جدا ولا أنصح حد ياكل منه,
لم يتم ارسال كل طلبات التوميه و تم ارسال تلساندوتشات فقط,
سخيف و قليل الذوق و اسلوب كلامه زي الزفت,كمية_قليلة
♥️,
اللي وصل شخص محترم وجزيل الشكر له تعليقي علي المطعم أن الساندوتش اللارج محتاج يكبر شوية لأن حجمه قريب اوي من الوسط,
مظهر لائق وخلوق,
الاكل حلو جدا بس هو ناقصه البطاطس الي طلبتها مع الاوردر,طلب_غلط
الطيار محترم اوي اديه عشره من عشره و نجمة,
السلطان ايوب دائما مختلف ومتألق ❤️❤️,
طعم الفته سي جدا,
جميل,
1 number one ☝️,
الصوص الأحمر مكنش موجود فوق الشاورما,طعم_سيئ
الشاورما طعمها سيء جدا والملح والفلفل الأسود زياده جدا فيه الشاورما رميتها في الزباله,
الاوردر اتأخر حوالي ساعة و نصف و الكل وصل بارد جدا تجربة سيئة جدا,حرارة_غير_مناسبة تأخير_طلب
اوحش فته اكلتها في حياتي.. هو ازاي فيه فته بيتحط عليها صلصه؟ و ده مش رز برياني ولا رز بسمتي نهائي و تتبيله الفراخ اسوء ما يكون انا رميت الاكل,
طالب توميه مع الوجبه جابو طحينه,
الأوردر موصلش !!,
دون المستوي,
جامد الله ينور ♥️,
الشاورما معظمها عجين العيش و مخلل بس الشاورما قليلة,كمية_قليلة
الطيار قام بإحضار اكثر من طلب قبل استلام طلبي وبعد استلام طلبي والطعام لم يكن ساخن,
جااامد,
احلي مسا عليكم,
الطلب جي سبايسي وانا مش طالبه كدا والتوميه الكميه غير كافيه,
احنا ٤ افراد كلنا بطننا وجعتنا ياريت نهتم بنضافه الاكل ومكنش بايت عشان حرام في طفله اكلته معانا,
روزو مشكل كباب جميل كالعادة 👍 لكن الرز ناقص بسلة وجزر مش زى زمان 🥲 الكبيبة صغيرة جدا على تمنها ❌,كمية_قليلة طلب_غلط
قرف وغلط في الطلبات بشكل غير طبيعي,نظافة_سيئة طلب_غلط
الاكل حلو جدا الصراحة بس الكمية بجد قليلة جدا,كمية_قليلة
الاوردر وصل ناقص,طلب_غلط
الاكل جميل ولكن كان بارد,حرارة_غير_مناسبة
للاسف ياريتني ماطلبت تاني مرة العرض اسوأ مليون مرة من المرة الاولانية,طعم_سيئ
الفراخ سيئه جدا لونها اسود اصلا الله يقرفكو,نظافة_سيئة
الاكل جه سخن واكتر من رائع,
محترم و سريع,
جامد اوي عرض الستين انصح بيه ❤️,
الاوردر اللي قبل دا - اقسم بالله لقيت جزء من كيس نايلون أد اللي ٣ صوابع - طلعتها من بوقي من قطمه سندوتش شاورما لحم - واوردر النهارده - اقسم بالله لتاني مره - الاقي شعره بني أدام مش نايلون المره دي - لاء شعره بني أدم أد كف الايد ولونها ابيض - وبرضو اط...,طعم_سيئ نظافة_سيئة
بطئ التوصيل,تأخير_طلب
عالمي ❤️,
عرض الستينات وصل بدون المشروب,
تحفهه,
حلوه جدا كالعاده بس الشاورما كان فيها فلفل طعمه مش حلو ابدا,
الاوردر كان فى سندوتش غلط وسندوتش تانى مفتوح و العيش كان ناشف وكلة بطاطس والديلفرى متاخر كمان دى اول مره يجيلى اوردر وحش كدة,طعم_سيئ فساد_الطعام طلب_غلط
فكرة ان الاوردر متغلف بفويل دا لوحده شئ عظيم والاكل كان سخن وكويس شكرا كان اول مره اجربه ومش هتبقى اخر مره,طعم_سيئ
تجربة توصيل سيئه جدا,
التوصيل كان سريع و الراجل كان محترم جدا,
Gameeed,
عاملين عروض وهميه مقللين السعر و بيضحكو على الناس و الكمية قليلة جداااااا و متستاهلش الفلوس اصلا و الاكل كان بارد و طعمه وحش,طعم_سيئ حرارة_غير_مناسبة كمية_قليلة
حلو بس البطاطس جوه السنظوتش كانت وحشة,
طلبت شاورما بالهاليبينو و اتحاسبت عليها و جت شاورما عادي,
الاكل طعمه كويس جدا بالنسبه للسعر والصوص جميل والدليفرى محترم,
جاامد,
التوميه تقريبا ربع الصوره,
Gamed ❤️,
انتوا كرهتوني فالدليفري,
تم تجاهل الاختيارات ووضعو بصل وبطاطس رغم اختياري عدم وضعهم,خدمة_سيئة
انا ما استلمتش الأوردر، والفلوس راحت عليا بسبب إن الكابتن ما كانش عنده خلق يحاول يكلمني و يوصل لي عند التسليم، و بالتالي سلم الأوردر لأي حد قدامه و خلاص، و كنت دافع بالكريديت كارد. بجد أسوأ تجربة لي مع المينيوز، و حتخليني افكر ابطل استخدمه تاني.,
الاكل متتاز 10/10,
الكميه مش كتير,
انا طلبت الكمبو معاه سبرايت بس جه فانتا تفاح,
كنت اتمنى كتابة نوع الساندويتش عليه عشان اعرف افرق الانواع,
بنت مؤدبة ووشها بشوش اللي جابت الطلب وجابته بسرعة الاكل حلو التغليف رائع الاكل سخن كله حلو ما عدا للاسف الطرب محروق ووحش عشان كدة اديته 4نجوم بس,حرارة_غير_مناسبة
عظمة,
الساندوتش تمام ناقص صوص جبته وانا محاسب عليه,طلب_غلط
بيخنسروا جامد في الحشو. كله بيخم كله في البلد دي,
طلبت عرض الروزو شاروما حرفيا واصلني عينه لدرجة بعد ما اكلنا طلبنا اكل تاني,
اللحمة سيئة والبطاطس,
لاكل وصل سخن والفته تحفه فعلا,
الاكل طعمه حلو لكن الكمية قليلة جدا مقارنة بالصور,كمية_قليلة
حلو اوي,
الاكل وصل بسرعه وجميل جداً,
تغيير الطيار اكثر من مرة الفتة كلها خبز والصلصة كثيرة وطعم النعناع غير مناسب الشاورما تعتبر ساندوتش مخلل اكثر من الدجاج,طعم_سيئ
مفيش بيبسي مع الاوردر و السندوتشات حجمها غلط!!,طلب_غلط
لقيت ذبانه في الطبق,
فتة الشاورما الحجم صغير ساندوتش الشاورما كله بطاطس و مخلل ساندوتش الكباب كويس,كمية_قليلة
الخبز غير طازج,
W7sh awy,
كويس بس الحشو قليل,كمية_قليلة
تحفه,
الاكل كان بارد و البطاطس كانت اكنها بايته جداااا,حرارة_غير_مناسبة
انا جالي تسمم ومن ساعتها تعبان,
so tasty,
Very delicious 60’s offer ❤️,
الاوردر ناقص تومية سبايسي و مدفوع تمنها !!!!,طلب_غلط
أصبحوا شحيحيين في الحشو,
انا طلبت ٢ لحمه جالى واحد لحمه وواحد فراخ 😞,
والله الساندوتش كان فيه صرصار صغير ..مش عارف ده قلة نضافة ولا صدفة!,كمية_قليلة
ساندوتش فاضي جدا مليان بصل بطريقة تقرف بجد و فاضي و مش محطوط في التوستر عدل بجد كان بشع,نظافة_سيئة
I,
الفرايز كان ممكن تكون احسن من كدا,
السندوتشات تعتبر سندوتش خيار مخلل كمية الشاورما الفراخ قليلة واطراف السندوتش وما بعدها حشوها فاضي للاسف المرة دي تجربة سيئة مع السلطان ايوب,طعم_سيئ كمية_قليلة
كله جميييل,
ممتازة,
الاوردر جاة غلط,طلب_غلط
مش نفس جودة زمان بس اتحسن شوية,
الاوردر متبهدل من جوا وال pieces صغيره ودي مش اول مرة اشتكي عالموضوع دا ف دي اخر مرة هطلب فيها من المطعم ومن الابلكيشن نفسه and I'll told all my friends about this negative feedback to avoid this experience,طعم_سيئ كمية_قليلة
الاكل بييجي نص الكمية حرفيا ومكنش في معلقة مع الفتة,
جه ساندوتش حجم أصغر عن المطلوب,
الكميه غير كافيه نهائيا وخصوصا انى طالبه الحجم الكبير,
انا طالب فته كبيره حرفيا هي وسط بس حاطينها في حجم اكبر مش اكتر,
الاكل كان بارد جدا و مش زي كل مرة للاسف,طعم_سيئ حرارة_غير_مناسبة
جيد جداا بس الاكل وصل شويه بارد و العيش كان معجن بسيط لكن ديما بيكون الاكل جيد جداا,حرارة_غير_مناسبة
كان وحش جدا والفراخ كل الساندوتش محروقه ومفيهوش صوص خالص وكان طعمه وحش جدااا ودى مكانتش اول مره يجى الاوردر سىء للدرجادى,طعم_سيئ حرارة_غير_مناسبة
ال delivery تعامله مش كويس لو حصل كده تاني مش هيحصل خير,
روعة الروعة,
بحب جدا الروزو كباب مشكل و ميحلاش منغير كولسلو و فطيرة لبنة و جبنة بعد الاكلة دي و بيبيسي بس انا كدة مبسوط 🤣,
Ahmed5261345@gmail.com,
مش سخن خالص,حرارة_غير_مناسبة
حرام يدفع فى جنيه واحد والله الساندويتش فاضى وكله دهون وغير مستوي نهائى,
بيتأخر جدا جابلي الاكل بعد ساعه و نص ساعه و في الاخر مجاش سخن,
العيش فادي,
مكنش حلو ومش مليان فراخ زي ما كانت بجيبه وبقي غالي اوي علي طعمه والعيش مكنش متحمص كأنه عجين,سعر_غالي
التوصيل اتأخر شويه,تأخير_طلب
فرع جليم إدارته كويسه و ال تيم محترم,
محترم وزوق,
الشاورما كويسة بس الفراخ و الرز تحسهم بايتين و متسخن و الفراخ ملهاش طعم,
الفته كلها زيت زززززززززززيت و الفطيرة طبعا الحشو مش موجود,
الكباب دجاج كويس الشاورما سيئه جدا والاكل بااارد,
جاي بارد جدا,حرارة_غير_مناسبة
طعمه وحش اوي والاكل بارد والطيار كان اسلوبه وحش,طعم_سيئ حرارة_غير_مناسبة
الاكل بارد و مش اول مرة تحصل من السلطان ايوب,طعم_سيئ حرارة_غير_مناسبة
سلوك الطيار راقي واسلوبه ذوقي جدا,
سندوتش كباب الفراخ جميل 🥰 السوتلاج (رز بلبن) مفهوش رز اصلا 👎❌,
كمية الشاورما أقل بشكل ملحوظ من كل مرة خاصة إنه اكبر حجم و ب 70 جنيه لا يستحق 30 ج على الكمية الموجودة، تجربة سيئة جدا آخرة مرة اطلب من السلطان أيوب,طعم_سيئ
الاكل حلو عن عدة تجارب بس وصلني اوردر معاه كولا وكانت علبة الكولا بايظه ومغرقة الكيس ياريت الانتباه في النقطه دي وشكرا,فساد_الطعام
الاوردر جه شاورما فراخ بدل لحمه,
الاكل كان بارد مش زي ما طلبته ياريت تاخدوا بالكوا من ان الاوردرات تكون طازة و تطلع سخنة مش كدا,حرارة_غير_مناسبة
بارد,حرارة_غير_مناسبة
jshsh,
الاوردر جي بالرز مش بطاطس,
لم يصل الاوردر الصحيح,
كمية شاورما الفراخ اللي علي الفته قليله جدا مقارنة بكمية الأرز والعيش التركي,كمية_قليلة
طلبت الاوردر xl جاء L,
غالي وكمان مافيش خصومات,سعر_غالي
الطلب وصل بارد بالرغم اني قريبة منهم الشاورما الساندوبتس فاضي تقريبا و العيش ناشف حشو قليل جدا و ده تقريبا بسبب اني استعملت برموكود و انا بطلب فمش بيهتمو او بيقللو الكميات عموما تجربة سيئة جدا,فساد_الطعام حرارة_غير_مناسبة كمية_قليلة
السندوتش العيش في كأنه مأكول منه وربع السندوتش مفهوش حاجه,
تحفة مش اول مرة اطلب من السلطان ايوب كل مرة نفس الجودة كل مرة الاكل جميل احلى شاورما,طعم_سيئ
تعديل وبعد كل هذة المساوئ الي قلتها اضف اليها اني بت في الحمام من الاسهال بجد انت بتشتري مرضك بايدك 🤮🤮 اوي تفكر تجرب المطعم ده بجد 🙏 نصيحة لوجه الله وحسبي الله ونعم الوكيل,طعم_سيئ تسمم_غذائي
بيتزا مع فتة شاورما بشع بشع بشع للصبح اوسخ مطعم اكلت منه في حياتي ميستهلش نجمة واحده حتي ولا الفلوس الي دافعها فيه ورغم بشاعته اسعاره غاليه جدا مقارنة بمن هم انضف منه الاف المرات,طعم_سيئ نظافة_سيئة سعر_غالي
طلبت بتزا فراخ و فتة شاورما بجد لا انصح اي حد يجرب من عنده اطلاقا وكل الريفيوهات الي كاتبه انو حلو خاطئه ده خسارة يتسمي مطعم ده قرف بالفعل 🤮 البيتزا عبارة عن رغيف عيش عليه صلصا اه والله صلصا معرفش ايه علاقتها ببيتزا الفراخ الي انا طالبها,نظافة_سيئة
انتم رفعتو الاسعار اوي,
الاسعار غاليه اوي عن الاول,سعر_غالي
الطيار بيدوخنى علشان يوصل العنوان وتليفونات ووصف,
تجربة سيئة جدا و الاكل وحش و حجم السندوتشات واحد,
مطعم سيى جدا اولا احجام الساندويش واحد مفيش اي اختلاف بين الوسط و الكبير مع راغم اختلاف الأسعار ثانيا الطعم سيى جدا و فيه حتت من الشاورما محروقة و موجوده عاده داخل الساندويش ثالثا الشاورما فيها حتت دهون فراخ جوه الساندويش,حرارة_غير_مناسبة
ممتاز الاكل فريش جدا وسخن,نظافة_سيئة
شكراً سلطان ايوب,
الاكل كان بارد شوية,حرارة_غير_مناسبة
طلبت ٢وسط و٢كبير واللي جالي ٣صغير وواحد كبير,كمية_قليلة
سيء جدا المطعم دا,
كان مكتوب وقت التوصيل من من ٦ و١٥ والاكب وصل الساعه ٥,
ريحة الفراخ شبه السمك وحاجه في منتهي القرف ميستاهلش 40 جنيه,نظافة_سيئة
ناقص مخلل و طحينة 😒,طلب_غلط
الأكل كلن مفترض يوصل ع الفطار ف وصل بدري واضطريت افطر بيه بارد,حرارة_غير_مناسبة
طالب الاوردر عل فطار قام جاني قبل الإفطار بساعتين. هوا حوار,
البابا غنوج كان حامض و كميه الاكل قليله و الطعم يقرف,طعم_سيئ نظافة_سيئة كمية_قليلة
الاكل بارد جدااا واضح لان فيه خصم بيبيقى فى عدم اهتمام بالاوردر,حرارة_غير_مناسبة
و كان الاكل بارد شوية,حرارة_غير_مناسبة
الاورد غلط,طلب_غلط
للاسف غالي جدا مع ان طعمه كويس مش هطلب منه تاني,سعر_غالي
لازم تحلوا مشكلة الفكة مع المندوبين,
جميل جداً,
الشاورما والفتن ملهمش طعم والقاه استغفرالله وشكلها يقفل الواحد اصلا والشاورما ياريتها كبيره دي صغيره حتي وياريت القيمه مقابل السعر دا السعر لو من غير العرض هيكون غالي اوي علي الفاضي ودا رأيي الشخصي واتمني تعدلوا دا والتوفيق,كمية_قليلة سعر_غالي
هقول رأيي بحيادية كالعادة 😂 جربت عندو اللحم بالعجين وكانت اللحمة نسبة البطل فيها عالية جدا ف طعمها مش لذيذ، وطلبت بيتزا شاورما كانت الصلصة فيها كتيرة جدا وطعمها طاغي علي البيتزا كلها وطعم الشاورما مكنش لايق بصراحة ع البيتزا.ممكن يعجبكو جربوه بردو 😂,
الاكل جي نصه فاضي!!!,
سيئ جدا ....... الاسعار عالية ...... الاكل طعمه مش زي زمان و مش مليان و عيش فاضي كتير,
مندوب قليل الذوق جدا,كمية_قليلة
الروززو مكس كباب حاجة من وراء العقل 😍😋😋 والشاورما الدجاج متميز كالعاده,
الكميات قليلة جدا من البطاطس و قطع الفراخ و حجم الساندويش صغير جدا فمع انه من المفروض يكون الحجم الكبير الا انه نفس الحجم الصغير و كذلك طعمه ليس كما قبل و كمية قطع الشاورما قليلة جدًا فهو اغلب الطلب عبارة عن عيش,كمية_قليلة
الراجل المحترم بتاع الدلفري محترم جدًا,
اكتر من ممتاز شكراً سلطان ايوب,
كمية الاكل قليلة,كمية_قليلة
كويس جدا,
حرام والله كميه الاكل ضعيفه جدا الجوده والنضافه والتغليف لا غبار عليهم,
جميل جداً شكراً لكم,
اكل حلو,
الاكل مش مقفول كويس و الاكل مدلوق فى الكيس !!!,
السندوتشات عبارة عن عيش فاضي وبينقط سمن ومفهوش غير بصل وخيار وده المفروض السبيشال اومال العادي ايه!!! بجد تجربة سيئة واخر مرة,طعم_سيئ
طلبت فته فراخ من غير عيش وجات بعيش وصورة كفتة كباب غير الاورد اللي جالي,
مع اني طالب الساندوتش بزيادة شاورما.. الساندوتش جه فاضي بردو! الفتة الميكس كانت كويسة كمية الشاورما اللحمة حلوة بس بردو شاورما فراخ قليلة جدا! مش عارف ليه كدة,كمية_قليلة
الاكل حلو اوى بس اتمنى تخففوا كمية الزيوت او الدهون اللي فى السندوتشات,
مطعم جااامد,
طالبه شاورما فراخ جيالي شاورما لحمه انا مشوفتش قرف كده بجد ده انتو مقرفين,طعم_سيئ نظافة_سيئة
Feen el roomi f elmeat !!!,
زفت,
طبعا 10 نجوم من 5 دا السلطان ايوب,
تمام,
الحجم صغير جداً,كمية_قليلة
الفتة ك رز و صوص تمام بس الفراخ فيها جلد كتيييييير جدًا,
الاكل تحفه بس وصل ساقع جدا,حرارة_غير_مناسبة
الساندوتش به قطع فراخ قليلة جدا,كمية_قليلة
سئ مخلل حامض طعم الاكل سئ,طعم_سيئ
الاكل جي فساعه و نص او اكتر رغم ان قولتوا ساعه الا ربع و جي بارد و مجلد صراحه خدمه سيئه زائد ان المطعم له فرع علي بعد ٥ دقايق مني روحتوا تجيبوا من فرع ابعد ما يكون فالسيوف و فيه فرع فسان ستيفانو و فرع فجليم فخدمه سيئه و اخر تعامل مع المنيوز,حرارة_غير_مناسبة
الاوردر خطأ,
ك,
الشاورما فراخ فيها دهن وحاجات ملظلظه مكنتش لطيفه خالص,
البيتزا مكنتش مجهزة عند الطلب ،كانت بايتة و اتسخنت.,
جميل جداااا واكلكم حلو جدااااااااااااااااا,
حلو اوى,
التاخير,
كله ممتاز .. الكنافه العادية افضل من الكنافه بالنوتيلا برأيي,
الاكل حلو وكان طعموا تحفة بس البطاطس بس الي كانت بايتة تقريبا مكنتش فريش,
انا بقالي كتير بطلب مشفتش حد محترم و مؤدب زي الراجل اللي وصل الاوردر ياريت باقي الطيارين يبقوا محترمين زيه مش عواجين بوقهم و الخمس نجوم للطيار الاكل زبالة كدة كدة انا مش عارف ايه اللي خلاني اطلب و السلطان ايوب اكل بقي زبالة اساسا,
وصلي ببصل وبدون جبنة للأسف كل اوردراتهم خاطئة,
الساندويش مكنش فيه جبنه ولا رومي مدخن,
مكنش سخن الاكل,
الاكل تحفه والطيار ذوق جدا ومتأخرش خالص,تأخير_طلب
تجربة سيئة جدا جدا الاكل واضح ان خاماته رديئة و التتبيل و التسوية دون المستوى تماما و نادم جدا على التعامل مع المطعم,
الاكل وصل بارد البطاطس رمتها لانها عباره عن زيت ...,حرارة_غير_مناسبة
السلطان ايوب من افضل المطاعم ، ولكن لدى ملاحظة لازم يتم اضافة رز مع الفرخه الكامله,
الشاورما محروقة و خيار كتير جدا,حرارة_غير_مناسبة
فوق الممتاز,
"الاكل مش عاجبنى خالص العيش تقريبا فاضى من جوة والبوكس صغير خالص على سعرة ""تجربة سيئة""",كمية_قليلة
ممتاز ووجبة بتشبع وماتأخروش,تأخير_طلب
كان محترم و سريع,
جالي تسمم و اتحولت تاني يوم للمستشفي,
العيب الوحيد التاخر لانى طلبت الاوردار ولغتوه ورجعت طلبته تانى والأكل اتاخر حولى ساعتين ونص او ساعتين,تسمم_غذائي
محترم و ذوق,
اصبح سئ جدا ولازم وقفه من المسؤلين عن المطعم اذا كانوا عايزين يستمروا,طعم_سيئ
حجم السندوتش صغير جدا,كمية_قليلة
اقوى فراخ مشوية مخلية على الفحم بكامل الاسكندرية بمعنى الكلمة مع سلطات وخبز عالمى يليهم مصطفى جاد سموحة ومدورش تانى على حد .. عايز اشوف الشيف اللى عمل الفراخ ده عشان ابوسه 😂,
❤️❤️,
الطعم سيء للغايه و الدجاج زفر و رميت الاوردر تجربه سيءه جدا,
الطعام طازج وطعمة حلو,
الطيار نعسان الوجه والاسلوب كالمخدر تماما,
تم طلب ساندوتش شاورمة XL إلا أنه لم ينل رضائى بسبب المكونات الاضافية غير اللازمة المضافة داخل السندوتشات وهى قطع بطاطس محمرة وقطع بصل كبيرة ، والغرض واضح من هذه الاضافات وهو غرض ريحى تجارى ملأ السندوتش بمكونات اضافية رخيصة لملأ الحجم على حساب المكون ...,طعم_سيئ
لائق ومحترم,
موظف الدليفري محترم,
لقيت شعره في شاورما فراخ 🤮 + حجم الساندوتش صغير برغم انى طالبه كبير,نظافة_سيئة كمية_قليلة
الاكل جايلي بارد ومفتوح وحد وقعه وطبعا اترما,حرارة_غير_مناسبة
ما كانش فيه إضافة التومية والاكل وصل بارد,حرارة_غير_مناسبة
العيش بايت,
مستوي متدني جدا جدا للاسف السلطان ايوب مبقاش زي زمان السندوتشات محروقة و مفيهاش حتي تومية في الفراخ و لا طحينة في اللحمة حاسس ان بكرة حجر و الاكل ناشف جدا بجد اخر مرة هجيب من عندهم,طعم_سيئ فساد_الطعام حرارة_غير_مناسبة
F,
في الوقت المطلوب,
جيد جداً,
Hhh,
شورما الدجاح غير شكل وحجم الاعلان والفراخ بدون رز وصغيره جدااا,كمية_قليلة
